38 Provinsi,
,Produksi Daging Sapi menurut Provinsi (Ton)
,2024
ACEH,11006.35
SUMATERA UTARA,18245.02
SUMATERA BARAT,14901.15
RIAU,13457.12
JAMBI,3571.72
SUMATERA SELATAN,11810.74
BENGKULU,1762.84
LAMPUNG,18624.97
KEP. BANGKA BELITUNG,2490.59
KEP. RIAU,2202.23
DKI JAKARTA,14925.17
JAWA BARAT,85241.7
JAWA TENGAH,83275.69
DI YOGYAKARTA,6700.69
JAWA TIMUR,96907.31
BANTEN,19259.7
BALI,4882.25
NUSA TENGGARA BARAT,11356.76
NUSA TENGGARA TIMUR,6234.53
KALIMANTAN BARAT,3890.08
KALIMANTAN TENGAH,1448.19
KALIMANTAN SELATAN,5272.95
KALIMANTAN TIMUR,6466.78
KALIMANTAN UTARA,632.91
SULAWESI UTARA,1840.64
SULAWESI TENGAH,3848.72
SULAWESI SELATAN,13722.51
SULAWESI TENGGARA,5985.22
GORONTALO,1900.72
SULAWESI BARAT,1174.18
MALUKU,1279.24
MALUKU UTARA,1530.33
PAPUA BARAT,742.54
PAPUA BARAT DAYA,325.41
PAPUA,683.22
PAPUA SELATAN,439.03
PAPUA TENGAH,667.16
PAPUA PEGUNUNGAN,145.81
INDONESIA,478852.17
