Jenis Tanaman,Produksi Tanaman Sayuran dan Buah-Buahan Semusim
Bawang Daun/Scallion(kw/qui),6387345
Bawang Merah/Shallots(kw/qui),19823602
Bawang Putih/Garlic(kw/qui),305823
Bayam/Spinach(kw/qui),1708214
Buncis/string bean(kw/qui),3256021
Cabai Rawit/Chili/Cayenne Pepper(kw/qui),15444409
Kacang Panjang/Long Beans(kw/qui),3608715
Kangkung/Water Spinach(kw/qui),3296160
Kembang Kol/Cauliflower(kw/qui),1921211
Kentang/Potato(kw/qui),15039983
Ketimun/Cucumber(kw/qui),4440567
Kubis/Cabbage(kw/qui),15037976
Labu Siam/Chayote(kw/qui),4618043
Melon/Melon(kw/qui),1186958
Paprika/Bell Pepper(kw/qui),209970
Petsai/Sawi/Chinese Cabbage/mustard green(kw/qui),7606082
Semangka/Watermelon(kw/qui),3678165
Stroberi/Strawberry(kw/qui),288952
Terung/Eggplant(kw/qui),6917384
Tomat/Tomato(kw/qui),11687437
Wortel/Carrot(kw/qui),7379652
"Cabai Besar/TW/Teropong / Chili/Big chili
(kw/qui)",4584394
"Cabai Keriting/Chili/Curly chili
(kw/qui)",10173818
Jamur Tiram/King Oyster Mushroom(kg),527758
Jamur Merang/Straw Mushroom(kg),82609
Jamur Lainnya/Mushroom(kg),21185
,
Catatan,
Angka sementara,
