Provinsi,Tahun,Produksi_Beras_Ton,Konsumsi_Total_Ton,harga_rata2beras_konsumen,Risk_Score_IKP,Kelompok_IKP,Kerentanan_Area,Surplus_Defisit_Ton,edr_kberas,Produksi_DagingSapi_Ton,Produksi_Jagung_Ton
Jawa Timur,2023,6216765.383466,11603785.143571427,12275.5,82.46,6,Sangat Tahan,-5387019.760105427,0.46424676891659544,102711.7,4795780.82
Jawa Timur,2024,5934932.672657999,11683867.325,13271.774193548386,83.86,6,Sangat Tahan,-5748934.652342,0.4920403914584849,96907.31,4595792.0
Kalimantan Barat,2021,455757.106002,714017.5542857143,13065.5,71.32,5,Tahan,-258260.4482837143,0.36170041861515817,5119.52,44252.44
Kalimantan Barat,2022,468130.75716000004,723231.8628571428,13174.416666666666,70.81,5,Tahan,-255101.10569714278,0.3527238203933113,5095.89,71717.47
Kalimantan Barat,2023,448326.17016000004,733920.9828571429,14261.708333333334,72.2,5,Tahan,-285594.8126971429,0.3891356418034633,4726.1,66248.12
Kalimantan Barat,2024,489614.81283,743344.1142857143,15243.322580645161,73.94,5,Tahan,-253729.30145571433,0.341334916870264,3890.08,90419.41
Kalimantan Selatan,2021,650643.9347100001,598307.0485714286,13166.458333333334,80.29,6,Sangat Tahan,52336.886138571426,0.0,7328.53,135325.9
Kalimantan Selatan,2022,524592.17184,606942.1985714287,13700.083333333334,81.05,6,Sangat Tahan,-82350.02673142869,0.13568017996649023,7351.35,152255.06
Kalimantan Selatan,2023,560524.376346,612776.3671428572,14995.083333333334,81.26,6,Sangat Tahan,-52251.990796857164,0.08527089750619513,7892.4,112150.44
Kalimantan Selatan,2024,659129.388786,620192.4371428572,14223.354838709678,82.95,6,Sangat Tahan,38936.95164314273,0.0,5272.95,109438.4
Kalimantan Tengah,2021,244037.54991,347136.1928571428,13412.125,73.68,5,Tahan,-103098.64294714283,0.2969976771899756,3965.53,35440.16
Kalimantan Tengah,2022,220176.81576,352133.45357142854,13545.208333333334,69.96,5,Tahan,-131956.63781142855,0.3747347389834456,4113.87,35933.96
Kalimantan Tengah,2023,211766.02821,356321.3892857143,14443.166666666666,68.9,5,Tahan,-144555.36107571432,0.4056881383559139,4026.7,25482.89
Kalimantan Tengah,2024,234407.19416400002,360946.10357142857,15160.064516129032,70.16,5,Tahan,-126538.90940742855,0.35057563485343857,1448.19,44638.26
Kalimantan Timur,2021,156642.82999199998,2571595.8557142867,12619.833333333334,77.46,6,Sangat Tahan,-2414953.0257222867,0.9390873065672712,7319.28,14554.97
Kalimantan Timur,2022,153280.07705999998,2606440.230000001,12696.375,77.65,6,Sangat Tahan,-2453160.152940001,0.9411917928154447,7465.56,17045.44
Kalimantan Timur,2023,145307.519214,2640136.630714286,14542.5,72.29,5,Tahan,-2494829.111500286,0.9449621214585825,7875.6,11228.48
Kalimantan Timur,2024,159821.38457999998,2732109.5721428576,15662.483870967742,78.61,6,Sangat Tahan,-2572288.1875628578,0.9415025714160329,6466.78,3955.26
Kalimantan Utara,2021,19185.071862,97676.54857142858,13221.375,73.02,5,Tahan,-78491.47670942858,0.8035856902952462,808.02,385.1
Kalimantan Utara,2022,19547.604318,99620.22428571428,13475.291666666666,71.04,5,Tahan,-80072.61996771429,0.8037787561897393,895.57,859.57
Kalimantan Utara,2023,15110.000399999999,99921.35714285714,14939.166666666666,74.59,6,Sangat Tahan,-84811.35674285714,0.8487810731153571,891.6,856.42
Kalimantan Utara,2024,19257.068754,101262.76714285715,15554.193548387097,75.77,6,Sangat Tahan,-82005.69838885716,0.8098307077977343,632.91,1058.24
Kepulauan Bangka Belitung,2021,45131.69925,177173.34571428574,11476.291666666666,73.22,5,Tahan,-132041.64646428573,0.7452681210706461,3233.04,348.85
Kepulauan Bangka Belitung,2022,39324.329814,179747.00142857144,11496.041666666666,71.71,5,Tahan,-140422.67161457145,0.7812240009487621,3395.04,257.95
Kepulauan Bangka Belitung,2023,42553.383378,181827.57357142857,13372.916666666666,71.14,5,Tahan,-139274.19019342857,0.7659684802355707,3485.7,111.3
Kepulauan Bangka Belitung,2024,49608.963557999996,184184.7535714286,14676.161290322581,70.21,5,Tahan,-134575.7900134286,0.7306565142007742,2490.59,0.0
Kepulauan Riau,2021,547.377402,257921.11,13405.083333333334,63.26,4,Agak Tahan,-257373.73259799997,0.9978777332262566,1453.07,12.84
Kepulauan Riau,2022,324.52378200000004,265421.79,13617.208333333334,63.83,4,Agak Tahan,-265097.266218,0.9987773280332409,1390.39,12.59
Kepulauan Riau,2023,207.43120199999998,262109.80142857146,13710.25,65.1,4,Agak Tahan,-261902.37022657145,0.9992086095183413,1820.9,10.45
Kepulauan Riau,2024,195.318618,265847.96499999997,14541.516129032258,66.29,5,Tahan,-265652.64638199995,0.9992652995557065,2202.23,12.0
Lampung,2021,1591186.869756,1283128.6,10748.833333333334,77.96,6,Sangat Tahan,308058.2697559998,0.0,21130.03,1129111.67
