Jenis Tanaman,Produksi Tanaman Sayuran dan Buah-Buahan Semusim
Bawang Daun/Scallion(kw/qui),6269541.81
Bawang Merah/Shallots(kw/qui),20857208.27
Bawang Putih/Garlic(kw/qui),394380.19
Bayam/Spinach(kw/qui),1684001.95
Buncis/string bean(kw/qui),3073897.1
Cabai Rawit/Chili/Cayenne Pepper(kw/qui),15687569.77
Kacang Panjang/Long Beans(kw/qui),2933389.27
Kangkung/Water Spinach(kw/qui),3135623.3
Kembang Kol/Cauliflower(kw/qui),1823869.64
Kentang/Potato(kw/qui),12704492.21
Ketimun/Cucumber(kw/qui),3991993.48
Kubis/Cabbage(kw/qui),14559335.48
Labu Siam/Chayote(kw/qui),4449902.83
Melon/Melon(kw/qui),1253837.78
Paprika/Bell Pepper(kw/qui),164775.02
Petsai/Sawi/Chinese Cabbage/mustard green(kw/qui),6885951.97
Semangka/Watermelon(kw/qui),4210087.77
Stroberi/Strawberry(kw/qui),317706.02
Terung/Eggplant(kw/qui),6767122.66
Tomat/Tomato(kw/qui),11527914.77
Wortel/Carrot(kw/qui),6816552.67
"Cabai Besar/TW/Teropong / Chili/Big chili
(kw/qui)",3840040.55
"Cabai Keriting/Chili/Curly chili
(kw/qui)",10853210.64
Jamur Tiram/King Oyster Mushroom(kw/qui),433640.79
Jamur Merang/Straw Mushroom(kw/qui),32191.2
Jamur Lainnya/Mushroom(kw/qui),21062.39
,
Catatan,
Angka tetap,
