Komoditas Ekspor Pertanian,,,,,,,,,,,,,
,Berat Bersih Ekspor Bulanan Hasil Pertanian Menurut Komoditas (Ribu Ton),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Sayur-sayuran,2.2,2.1,3.2,3.6,8.1,9.1,12.1,25.2,26.3,14.4,7.6,4.3,118.1
Tembakau,0.7,0.6,1,0.3,0.6,0.7,0.9,0.7,1,0.8,0.9,0.5,8.7
Jagung,41.3,31.8,6.2,12.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,92.1
Kopi,28.1,19.9,15.5,15.6,27.6,27.7,26.1,28.7,23.2,27.3,21.3,15.2,276.3
"Tanaman Obat, Aromatik, dan Rempah-Rempah",22.5,21.1,25.7,21.2,28.4,28.5,23.6,24.5,24.5,24.7,21.4,23.5,289.4
Lada Hitam,0.5,0.6,0.7,0.6,1.1,0.9,0.7,1.1,0.8,0.7,0.4,0.9,9.3
Lada Putih,1,1,1.3,0.9,1.3,0.9,1.2,1.1,0.9,0.8,0.8,0.6,11.6
Biji Kakao,1.8,1.5,1.1,1.1,2.4,1.6,0.6,0.1,1.3,0,2,0.9,14.5
Buah-buahan Tahunan,52.5,70,71.1,52.5,69.9,69,64.9,74.9,89.3,96.6,95.4,76.5,882.6
Sarang Burung,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.3
Hasil Hutan Bukan Kayu Lainnya,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.6,0.6,3.9
Ikan Segar/Dingin Hasil Tangkapan,3.9,3.8,4.4,3,4.2,3.7,3.8,3.7,3.8,4.2,4.7,5,48.1
Rumput Laut dan Ganggang Lainnya,19.2,12.6,23.4,16.7,20.1,15,22.1,25.7,25.3,24.3,26.2,20.3,251.1
Lainnya,507.3,391.7,519.3,318.1,405.6,448.8,507.5,444.2,513.3,421.1,410.9,480.1,5368.3
Jumlah,681.3,557.1,673.3,446.1,569.8,606.3,663.9,630.5,710.4,615.5,592.4,628.6,7375.3
